rn:R00001	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate
rn:R00238	Acetyl-CoA:acetyl-CoA C-acetyltransferase; 2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA
rn:R00239	ATP:L-glutamate 5-phosphotransferase; ATP + L-Glutamate <=> ADP + L-Glutamyl 5-phosphate
rn:R00241	ATP:L-glutamate 1-phosphotransferase; ATP + L-Glutamate <=> ADP + L-Glutamyl 1-phosphate
rn:R00243	L-glutamate:NAD+ oxidoreductase (deaminating); L-Glutamate + NAD+ + H2O <=> 2-Oxoglutarate + Ammonia + NADH + H+
rn:R00245	L-glutamate gamma-semialdehyde:NAD+ oxidoreductase; L-Glutamate 5-semialdehyde + NAD+ + H2O <=> L-Glutamate + NADH + H+
rn:R00248	L-glutamate:NADP+ oxidoreductase (deaminating); L-Glutamate + NADP+ + H2O <=> 2-Oxoglutarate + Ammonia + NADPH + H+
rn:R00250	L-Glutamate:oxygen oxidoreductase (deaminating); L-Glutamate + Oxygen + H2O <=> 2-Oxoglutarate + Ammonia + Hydrogen peroxide
rn:R00251	5-oxo-L-proline amidohydrolase (ATP-hydrolysing); ATP + 5-Oxoproline + 2 H2O <=> ADP + Orthophosphate + L-Glutamate
rn:R00253	L-Glutamate:ammonia ligase (ADP-forming); ATP + L-Glutamate + Ammonia <=> ADP + Orthophosphate + L-Glutamine
rn:R00254	N-carbamyl-L-glutamate amidohydrolase; L-Glutamate + Ammonia + CO2 <=> N-Carbamyl-L-glutamate + H2O
rn:R00256	L-glutamine amidohydrolase; L-Glutamine + H2O <=> L-Glutamate + Ammonia
rn:R00257	Deamido-NAD+:L-glutamine amido-ligase (AMP-forming); ATP + Deamino-NAD+ + L-Glutamine + H2O <=> AMP + Diphosphate + NAD+ + L-Glutamate
rn:R00258	L-Alanine:2-oxoglutarate aminotransferase; L-Alanine + 2-Oxoglutarate <=> Pyruvate + L-Glutamate
rn:R00259	acetyl-CoA:L-glutamate N-acetyltransferase; Acetyl-CoA + L-Glutamate <=> CoA + N-Acetyl-L-glutamate
rn:R00260	glutamate racemase; L-Glutamate <=> D-Glutamate
rn:R00261	L-glutamate 1-carboxy-lyase (4-aminobutanoate-forming); L-Glutamate <=> 4-Aminobutanoate + CO2
rn:R00262	L-threo-3-methylaspartate carboxy-aminomethylmutase; L-threo-3-Methylaspartate <=> L-Glutamate
rn:R00263	L-Glutamate <=> Poly-gamma-D-glutamate
rn:R00264	2,5-dioxopentanoate:NADP+ 5-oxidoreductase; 2,5-Dioxopentanoate + NADP+ + H2O <=> 2-Oxoglutarate + NADPH + H+
rn:R00265	2-oxoglutarate:NADP+ 2-oxidoreductase (CoA-succinylating); 2-Oxoglutarate + CoA + NADP+ <=> Succinyl-CoA + CO2 + NADPH + H+
rn:R00267	Isocitrate:NADP+ oxidoreductase (decarboxylating); Isocitrate + NADP+ <=> 2-Oxoglutarate + CO2 + NADPH + H+
rn:R00268	oxalosuccinate carboxy-lyase (2-oxoglutarate-forming); Oxalosuccinate <=> 2-Oxoglutarate + CO2
rn:R00269	2-oxoglutaramate amidohydrolase; 2-Oxoglutaramate + H2O <=> 2-Oxoglutarate + Ammonia
rn:R00270	2-Oxoglutarate + Ammonia <=> 4-Oxoglutaramate + H2O
rn:R00271	acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming); Acetyl-CoA + H2O + 2-Oxoglutarate <=> (R)-2-Hydroxybutane-1,2,4-tricarboxylate + CoA
rn:R00272	2-Oxoglutarate carboxy-lyase; 2-Oxoglutarate <=> Succinate semialdehyde + CO2
rn:R00273	oxalate:oxygen oxidoreductase; Oxalate + Oxygen <=> Hydrogen peroxide + 2 CO2
rn:R00274	glutathione:hydrogen-peroxide oxidoreductase; Hydrogen peroxide + 2 Glutathione <=> Glutathione disulfide + 2 H2O
rn:R00275	superoxide:superoxide oxidoreductase; 2 O2.- + 2 H+ <=> Hydrogen peroxide + Oxygen
rn:R00276	Carbon-monoxide:oxygen oxidoreductase; CO2 + Hydrogen peroxide <=> CO + H2O + Oxygen
rn:R00277	Pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating); Pyridoxamine phosphate + H2O + Oxygen <=> Pyridoxal phosphate + Ammonia + Hydrogen peroxide
rn:R00278	Pyridoxine 5-phosphate:oxygen oxidoreductase; Pyridoxine phosphate + Oxygen <=> Hydrogen peroxide + Pyridoxal phosphate
rn:R00279	D-Glutamate:oxygen oxidoreductase (deaminating); D-Glutamate + H2O + Oxygen <=> 2-Oxoglutarate + Ammonia + Hydrogen peroxide
rn:R00280	Nitric-oxide:acceptor oxidoreductase; Acceptor + 2 Nitric oxide + 2 H2O <=> Reduced acceptor + 2 Nitrite
rn:R00281	NADH:acceptor oxidoreductase; Acceptor + NADH + H+ <=> Reduced acceptor + NAD+
rn:R00282	NADPH:acceptor oxidoreductase; Acceptor + NADPH + H+ <=> Reduced acceptor + NADP+
rn:R00283	ammonium:acceptor oxidoreductase (ATP-forming); Acceptor + Ammonia + H2O + 2 Orthophosphate + 2 ADP <=> Hydroxylamine + Reduced acceptor + 2 ATP + 2 H2O
rn:R00284	ammonia:acceptor oxidoreductase; Acceptor + Ammonia + H2O <=> Hydroxylamine + Reduced acceptor
rn:R00286	UDP-glucose:NAD+ 6-oxidoreductase; UDP-glucose + H2O + 2 NAD+ <=> UDP-glucuronate + 2 NADH + 2 H+
rn:R00287	UDP-glucose glucophosphohydrolase; UDP-glucose + H2O <=> UMP + D-Glucose 1-phosphate
rn:R00289	UTP:alpha-D-glucose-1-phosphate uridylyltransferase; UTP + D-Glucose 1-phosphate <=> Diphosphate + UDP-glucose
rn:R00291	UDP-glucose 4-epimerase; UDP-alpha-D-glucose 4-epimerase; UDP-glucose <=> UDP-alpha-D-galactose
rn:R00292	UDP-glucose:glycogen 4-alpha-D-glucosyltransferase; UDP-glucose + Amylose <=> UDP + Amylose
rn:R00293	UDP-glucose 4,6-hydro-lyase (UDP-4-dehydro-6-deoxy-D-glucose-forming); UDP-glucose <=> UDP-4-dehydro-6-deoxy-D-glucose + H2O
rn:R00294	nitrous-oxide:ferricytochrome-c oxidoreductase; 2 Nitric oxide + 2 Ferrocytochrome c + 2 H+ <=> Nitrous oxide + 2 Ferricytochrome c + H2O
rn:R00295	trithionate: (acceptor) oxidoreductase; Trithionate + HO- + Acceptor + 2 H2O <=> Reduced acceptor + 3 HSO3-
rn:R00296	carbon-monoxide:acceptor oxidoreductase; CO + H2O + Acceptor <=> CO2 + Reduced acceptor
rn:R00297	(R)-2-hydroxy-acid:acceptor 2-oxidoreductase; (R)-Lactate + Acceptor <=> Pyruvate + Reduced acceptor
rn:R00298	(S)-2-hydroxyglutarate:acceptor 2-oxidoreductase; (S)-2-Hydroxyglutarate + Acceptor <=> 2-Oxoglutarate + Reduced acceptor
rn:R00299	ATP:D-glucose 6-phosphotransferase; ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate
rn:R00300	D-Glucose:NAD+ 1-oxidoreductase; D-Glucose + NAD+ <=> D-Glucono-1,5-lactone + NADH + H+
rn:R00301	D-Glucose:NADP+ 1-oxidoreductase; D-Glucose + NADP+ <=> D-Glucono-1,4-lactone + NADPH + H+
rn:R00302	D-glucose:oxygen 2-oxidoreductase; D-Glucose + Oxygen <=> 2-Dehydro-D-glucose + Hydrogen peroxide
rn:R00303	D-Glucose-6-phosphate phosphohydrolase; D-Glucose 6-phosphate + H2O <=> D-Glucose + Orthophosphate
rn:R00304	D-Glucose-1-phosphate phosphohydrolase; D-Glucose 1-phosphate + H2O <=> D-Glucose + Orthophosphate
rn:R00305	D-glucose:quinone 1-oxidoreductase; D-Glucose + Quinone <=> D-Glucono-1,5-lactone + Hydroquinone
rn:R00306	cellobiose glucohydrolase; Cellobiose + H2O <=> 2 D-Glucose
rn:R00307	D-glucose aldose-ketose-isomerase; D-Glucose <=> D-Fructose
rn:R00308	1,3-beta-D-Glucan glucanohydrolase; 1,3-beta-D-Glucan + H2O <=> D-Glucose + 1,3-beta-D-Glucan
rn:R00310	protoheme ferro-lyase (protoporphyrin-forming); Protoporphyrin + Fe2+ <=> Heme + 2 H+
rn:R00311	protoheme,NADPH---hemoprotein reductase:oxygen oxidoreductase (alpha-methene-oxidizing, hydroxylating); Heme + 3 [Reduced NADPH---hemoprotein reductase] + 3 Oxygen <=> Biliverdin + CO + Fe2+ + 3 [Oxidized NADPH---hemoprotein reductase] + 3 H2O
rn:R00312	Heme <=> Cytochrome a
rn:R00313	Heme <=> Catalase
rn:R00314	Heme <=> Peroxidase
rn:R00315	ATP:acetate phosphotransferase; ATP + Acetate <=> ADP + Acetyl phosphate
rn:R00316	ATP:acetate adenylyltransferase; ATP + Acetate <=> Diphosphate + Acetyl adenylate
rn:R00317	Acetyl phosphate phosphohydrolase; Acetyl phosphate + H2O <=> Acetate + Orthophosphate
rn:R00318	Phosphonoacetate phosphonohydrolase; Phosphonoacetate + H2O <=> Acetate + Orthophosphate
rn:R00319	(S)-lactate:oxygen 2-oxidoreductase (decarboxylating); (S)-Lactate + Oxygen <=> Acetate + CO2 + H2O
rn:R00320	diphosphate:acetate phosphotransferase; Diphosphate + Acetate <=> Orthophosphate + Acetyl phosphate
rn:R00321	Acetamide amidohydrolase; Acetamide + H2O <=> Acetate + Ammonia
rn:R00322	5'-acetylphosphoadenosine acetylhydrolase; Acetyl adenylate + H2O <=> AMP + Acetate
rn:R00324	2,4-dioxopentanoate acetylhydrolase; Acetylpyruvate acetylhydrolase; Acetylpyruvate + H2O <=> Acetate + Pyruvate
rn:R00325	(2S)-2-hydroxy-2-methylbutanedioate pyruvate-lyase (acetate-forming); (3S)-citramalate pyruvate-lyase; (S)-2-Methylmalate <=> Acetate + Pyruvate
rn:R00326	acetaldehyde:acceptor oxidoreductase; Acetaldehyde + Acceptor + H2O <=> Acetate + Reduced acceptor
rn:R00327	6-Acetyl-D-glucose acetylhydrolase; 6-Acetyl-D-glucose + H2O <=> D-Glucose + Acetate
rn:R00328	GDP phosphohydrolase; GDP + H2O <=> GMP + Orthophosphate
rn:R00329	Nucleoside-diphosphate phosphohydrolase; NDP + H2O <=> Nucleotide + Orthophosphate
rn:R00330	ATP:GDP phosphotransferase; ATP + GDP <=> ADP + GTP
rn:R00331	ATP:nucleoside-diphosphate phosphotransferase; ATP + NDP <=> ADP + Nucleoside triphosphate
rn:R00332	ATP:GMP phosphotransferase; ATP + GMP <=> ADP + GDP
rn:R00333	nucleoside-triphosphate:AMP phosphotransferase; Nucleoside triphosphate + AMP <=> NDP + ADP
rn:R00334	ATP:nucleoside-phosphate phosphotransferase; ATP + Nucleoside phosphate <=> ADP + NDP
rn:R00335	GTP phosphohydrolase; GTP + H2O <=> GDP + Orthophosphate
rn:R00336	guanosine-3',5'-bis(diphosphate) 3'-diphosphohydrolase; Guanosine 3',5'-bis(diphosphate) + H2O <=> GDP + Diphosphate
rn:R00337	GDP-glucose glucohydrolase; GDP-glucose + H2O <=> GDP + D-Glucose
rn:R00338	Oxaloacetate acetylhydrolase; Oxaloacetate + H2O <=> Oxalate + Acetate
rn:R00339	(R,R)-tartrate hydro-lyase (oxaloacetate-forming); (R,R)-Tartaric acid <=> Oxaloacetate + H2O
rn:R00340	(S,S)-tartrate hydro-lyase (oxaloacetate-forming); (S,S)-Tartaric acid <=> Oxaloacetate + H2O
rn:R00341	ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming); ATP + Oxaloacetate <=> ADP + Phosphoenolpyruvate + CO2
rn:R00342	(S)-malate:NAD+ oxidoreductase; (S)-Malate + NAD+ <=> Oxaloacetate + NADH + H+
rn:R00343	(S)-malate:NADP+ oxidoreductase; (S)-Malate + NADP+ <=> Oxaloacetate + NADPH + H+
rn:R00344	Pyruvate:carbon-dioxide ligase (ADP-forming); ATP + Pyruvate + HCO3- <=> ADP + Orthophosphate + Oxaloacetate
rn:R00345	phosphate:oxaloacetate carboxy-lyase (adding phosphate;phosphoenolpyruvate-forming); Orthophosphate:oxaloacetate carboxyl-lyase (phosphorylating); Orthophosphate + Oxaloacetate <=> H2O + Phosphoenolpyruvate + CO2
rn:R00346	diphosphate:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming); pyrophosphate:oxaloacetate carboxy-lyase (transphosphorylating); Diphosphate + Oxaloacetate <=> Orthophosphate + Phosphoenolpyruvate + CO2
rn:R00347	erythro-3-hydroxy-Ls-aspartate ammonia-lyase (oxaloacetate-forming); erythro-3-Hydroxy-Ls-aspartate <=> Oxaloacetate + Ammonia
rn:R00348	2-oxosuccinamate amidohydrolase; 2-Oxosuccinamate + H2O <=> Oxaloacetate + Ammonia
rn:R00350	4-carboxy-4-hydroxy-2-oxoadipate oxaloacetate-lyase (pyruvate-forming); 4-Carboxy-4-hydroxy-2-oxoadipate <=> Oxaloacetate + Pyruvate
rn:R00351	acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing); Citrate + CoA <=> Acetyl-CoA + H2O + Oxaloacetate
rn:R00352	acetyl-CoA:oxaloacetate C-acetyltransferase [(pro-S)-carboxymethyl-forming, ADP-phosphorylating]; ATP + Citrate + CoA <=> ADP + Orthophosphate + Acetyl-CoA + Oxaloacetate
rn:R00353	malonyl-CoA:pyruvate carboxytransferase; Malonyl-CoA + Pyruvate <=> Acetyl-CoA + Oxaloacetate
rn:R00354	(3S)-citryl-CoA oxaloacetate-lyase (acetyl-CoA-forming); (3S)-Citryl-CoA <=> Acetyl-CoA + Oxaloacetate
rn:R00355	L-Aspartate:2-oxoglutarate aminotransferase; L-Aspartate + 2-Oxoglutarate <=> Oxaloacetate + L-Glutamate
rn:R00357	L-Aspartic acid:oxygen oxidoreductase (deaminating); L-Aspartate + H2O + Oxygen <=> Oxaloacetate + Ammonia + Hydrogen peroxide
rn:R00359	D-Aspartate:oxygen oxidoreductase (deaminating); D-Aspartate + H2O + Oxygen <=> Oxaloacetate + Ammonia + Hydrogen peroxide
rn:R00360	(S)-Malate:oxygen oxidoreductase; (S)-Malate + Oxygen <=> Oxaloacetate + Hydrogen peroxide
rn:R00361	(S)-malate:quinone oxidoreductase; (S)-Malate + Quinone <=> Oxaloacetate + Hydroquinone
rn:R00362	citrate oxaloacetate-lyase (forming acetate from the pro-S carboxymethyl group of citrate); Citrate oxaloacetate-lyase ((pro-3S)-CH2COO- -->acetate); Citrate <=> Acetate + Oxaloacetate
rn:R00363	Oxaloacetate keto-enol-isomerase; Oxaloacetate <=> 2-Hydroxyethylenedicarboxylate
rn:R00364	Glycine:ferricytochrome-c oxidoreductase (deaminating); Glycine + H2O + 2 Ferricytochrome c <=> Glyoxylate + Ammonia + 2 Ferrocytochrome c + 2 H+
rn:R00365	glycine:NAD+ oxidoreductase (deaminating); Glycine + H2O + NAD+ <=> Glyoxylate + Ammonia + NADH + H+
rn:R00366	glycine:oxygen oxidoreductase (deaminating); Aminoacetic acid:oxygen oxidoreductase (deaminating); Glycine + H2O + Oxygen <=> Glyoxylate + Ammonia + Hydrogen peroxide
rn:R00367	S-Adenosyl-L-methionine:glycine N-methyltransferase; S-Adenosyl-L-methionine + Glycine <=> S-Adenosyl-L-homocysteine + Sarcosine
rn:R00368	N-(carboxymethyl)-D-alanine:NAD+ oxidoreductase (glycine-forming); N-(Carboxymethyl)-D-alanine + NAD+ + H2O <=> Glycine + Pyruvate + NADH + H+
rn:R00369	L-Alanine:glyoxylate aminotransferase; L-Alanine + Glyoxylate <=> Pyruvate + Glycine
rn:R00371	Acetyl-CoA:glycine C-acetyltransferase; Acetyl-CoA + Glycine <=> CoA + L-2-Amino-3-oxobutanoic acid
rn:R00372	Glycine:2-oxoglutarate aminotransferase; Glycine + 2-Oxoglutarate <=> Glyoxylate + L-Glutamate
rn:R00373	Glycine:oxaloacetate aminotransferase; Glycine + Oxaloacetate <=> Glyoxylate + L-Aspartate
rn:R00374	glycine:acceptor oxidoreductase (cyanide-forming); Glycine + 2 Acceptor <=> Cyanide ion + CO2 + 2 Reduced acceptor + H+
rn:R00375	Deoxyadenosine 5'-triphosphate:DNA deoxynucleotidyltransferase (DNA-directed); dATP + DNA <=> Diphosphate + DNA
rn:R00376	Deoxyguanosine 5'-triphosphate:DNA deoxynucleotidyltransferase (DNA-directed); dGTP + DNA <=> Diphosphate + DNA
rn:R00377	Deoxycytidine triphosphate:DNA deoxynucleotidyltransferase (DNA-directed); dCTP + DNA <=> Diphosphate + DNA
rn:R00378	deoxythymidine triphosphate:DNA deoxynucleotidyltransferase (DNA-directed); dTTP + DNA <=> Diphosphate + DNA
rn:R00379	Deoxynucleoside triphosphate:DNA deoxynucleotidyltransferase; Deoxynucleoside triphosphate + DNA(n) <=> Diphosphate + DNA(n+1)
rn:R00380	S-Adenosyl-L-methionine:DNA (cytosine-5-)-methyltransferase; S-Adenosyl-L-methionine + DNA <=> S-Adenosyl-L-homocysteine + DNA 5-methylcytosine
rn:R00381	(deoxyribonucleotide)n:5'-phospho-(deoxyribonucleotide)m ligase (AMP-forming); ATP + DNA(n) + 5'-Phospho-DNA(m) <=> AMP + Diphosphate + DNA(n+m)
rn:R00382	(deoxyribonucleotide)n:5'-phospho-(deoxyribonucleotide)m ligase (AMP-forming, NMN-forming); NAD+ + DNA(n) + 5'-Phospho-DNA(m) <=> AMP + Nicotinamide D-ribonucleotide + DNA(n+m)
rn:R00383	Acyl-CoA hydrolase; Acyl-CoA + H2O <=> CoA + Carboxylate
rn:R00384	acyl-CoA:NAD+ trans-2-oxidoreductase; Acyl-CoA + NAD+ <=> trans-2,3-Dehydroacyl-CoA + NADH + H+
rn:R00385	acyl-CoA:NADP+ 2-oxidoreductase; Acyl-CoA + NADP+ <=> 2,3-Dehydroacyl-CoA + NADPH + H+
rn:R00387	acyl-CoA:NADP+ cis-2-oxidoreductase; Acyl-CoA + NADP+ <=> cis-2,3-Dehydroacyl-CoA + NADPH + H+
rn:R00388	Acyl-CoA:oxygen 2-oxidoreductase; Acyl-CoA + Oxygen <=> trans-2,3-Dehydroacyl-CoA + Hydrogen peroxide
rn:R00389	medium-chain-fatty-acid:CoA ligase (AMP-forming); ATP + Medium-chain fatty acid + CoA <=> AMP + Diphosphate + Medium-chain acyl-CoA
rn:R00390	Long-chain carboxylate:CoA ligase (AMP-forming); ATP + Long-chain carboxylate + CoA <=> AMP + Diphosphate + Acyl-CoA
rn:R00391	Acyl-CoA:acetyl-CoA C-acyltransferase; Acyl-CoA + Acetyl-CoA <=> CoA + 3-Oxoacyl-CoA
rn:R00392	acyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase; Acyl-CoA + Electron-transferring flavoprotein <=> 2,3-Dehydroacyl-CoA + Reduced electron-transferring flavoprotein
rn:R00393	Acyl-CoA:acetate CoA-transferase; Acyl-CoA + Acetate <=> Fatty acid anion + Acetyl-CoA
rn:R00394	carboxylic acid:CoA ligase (GDP-forming); GTP + Carboxylate + CoA <=> GDP + Orthophosphate + Acyl-CoA
rn:R00395	Acyl-CoA:glycine N-acyltransferase; Acyl-CoA + Glycine <=> CoA + N-Acylglycine
rn:R00396	L-alanine:NAD+ oxidoreductase (deaminating); L-Alanine + NAD+ + H2O <=> Pyruvate + Ammonia + NADH + H+
rn:R00397	L-aspartate 4-carboxy-lyase (L-alanine-forming); L-Aspartate <=> L-Alanine + CO2
rn:R00398	2,2'-iminodipropanoate:NAD+ oxidoreductase (L-alanine-forming); Alanopine + NAD+ + H2O <=> L-Alanine + Pyruvate + NADH + H+
rn:R00399	2-amino-4-ketopentanoate thiolase; acetyl-CoA:D-alanine C-acyltransferase; D-Alanine + Acetyl-CoA <=> 2-Amino-4-oxopentanoic acid + CoA
rn:R00400	L-alanine:oxaloacetate aminotransferase; L-Alanine + Oxaloacetate <=> Pyruvate + L-Aspartate
rn:R00401	alanine racemase; L-Alanine <=> D-Alanine
rn:R00402	succinate:NAD+ oxidoreductase; Succinate + NAD+ <=> Fumarate + NADH + H+
rn:R00405	Succinate:CoA ligase (ADP-forming); ATP + Succinate + CoA <=> ADP + Orthophosphate + Succinyl-CoA
rn:R00406	succinyl-CoA:(S)-malate CoA-transferase; Succinyl-CoA + (S)-Malate <=> Succinate + L-Malyl-CoA
rn:R00407	Succinyl-CoA hydrolase; Succinyl-CoA + H2O <=> CoA + Succinate
rn:R00408	succinate:FAD oxidoreductase; Succinate + FAD <=> FADH2 + Fumarate
rn:R00409	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase (succinate-forming); (2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate <=> Pyruvate + Succinate
rn:R00410	succinyl-CoA:acetoacetate CoA-transferase; Succinyl-CoA + Acetoacetate <=> Succinate + Acetoacetyl-CoA
rn:R00411	N-succinyl-L-glutamate amidohydrolase; N-Succinyl-L-glutamate + H2O <=> L-Glutamate + Succinate
rn:R00412	succinate:acceptor oxidoreductase; Succinate + Acceptor <=> Fumarate + Reduced acceptor
rn:R00414	UDP-N-acetyl-D-glucosamine 2-epimerase; UDP-N-acetyl-alpha-D-glucosamine + H2O <=> N-Acetyl-D-mannosamine + UDP
rn:R00416	UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase; UTP + N-Acetyl-alpha-D-glucosamine 1-phosphate <=> Diphosphate + UDP-N-acetyl-alpha-D-glucosamine
rn:R00417	UDP-N-acetyl-D-glucosamine:protein beta-N-acetyl-D-glucosaminyltransferase; UDP-N-acetyl-alpha-D-glucosamine + Protein asparagine <=> UDP + 4-N-(N-Acetyl-D-glucosaminyl)-protein
rn:R00418	UDP-N-acetyl-D-glucosamine 4-epimerase; UDP-N-acetyl-alpha-D-glucosamine <=> UDP-N-acetyl-D-galactosamine
rn:R00420	UDP-N-acetyl-D-glucosamine 2-epimerase; UDP-N-acetyl-alpha-D-glucosamine <=> UDP-N-acetyl-D-mannosamine
rn:R00421	UDP-N-acetyl-D-glucosamine:NAD+ 6-oxidoreductase; UDP-N-acetyl-alpha-D-glucosamine + 2 NAD+ + H2O <=> UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate + 2 NADH + 2 H+
rn:R00422	UDP-N-acetyl-alpha-D-glucosamine <=> Glycolipid
rn:R00423	UDP-N-acetyl-alpha-D-glucosamine <=> Mucopolysaccharide
rn:R00424	GTP 7,8-8,9-dihydrolase; GTP + H2O <=> 7,8-Dihydroneopterin 3'-triphosphate + Formate
rn:R00425	GTP 7,8-8,9-dihydrolase (diphosphate-forming); GTP + 3 H2O <=> Formate + 2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one + Diphosphate
rn:R00426	GTP diphosphohydrolase (diphosphate-forming); Guanosine 5'-triphosphate pyrophosphohydrolase; GTP + H2O <=> GMP + Diphosphate
rn:R00428	GTP 8,9-hydrolase; GTP + H2O <=> Formamidopyrimidine nucleoside triphosphate
rn:R00429	ATP:GTP 3'-diphosphotransferase; ATP + GTP <=> AMP + Guanosine 3'-diphosphate 5'-triphosphate
rn:R00430	GTP:pyruvate 2-O-phosphotransferase; GTP + Pyruvate <=> GDP + Phosphoenolpyruvate
rn:R00431	GTP:oxaloacetate carboxy-lyase (adding GTP;phosphoenolpyruvate-forming); GTP:oxaloacetate carboxy-lyase (transphosphorylating); GTP + Oxaloacetate <=> GDP + Phosphoenolpyruvate + CO2
rn:R00432	Succinate:CoA ligase (GDP-forming); GTP + Succinate + CoA <=> GDP + Orthophosphate + Succinyl-CoA
rn:R00434	GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming); GTP <=> 3',5'-Cyclic GMP + Diphosphate
rn:R00435	ATP:polynucleotide adenylyltransferase; ATP:RNA adenylyltransferase; ATP + RNA <=> Diphosphate + RNA
rn:R00436	polyribonucleotide ligase (cyclizing, AMP-forming); ATP + RNA <=> AMP + Diphosphate + RNA(circular)
rn:R00437	polyribonucleotide:phosphate adenylyltransferase; RNA + Orthophosphate <=> RNA + ADP
rn:R00438	polyribonucleotide:phosphate uridylyltransferase; RNA + Orthophosphate <=> RNA + UDP
rn:R00439	polyribonucleotide:phosphate guanylyltransferase; RNA + Orthophosphate <=> RNA + GDP
rn:R00440	polyribonucleotide:phosphate cytidylyltransferase; RNA + Orthophosphate <=> RNA + CDP
rn:R00441	GTP:RNA guanylyltransferase (DNA-directed); GTP:RNA guanylyltransferase (RNA-directed); GTP + RNA <=> Diphosphate + RNA
rn:R00442	CTP:RNA cytidylyltransferase (DNA-directed); CTP:RNA cytidylyltransferase (RNA-directed); CTP + RNA <=> Diphosphate + RNA
rn:R00443	UTP:RNA uridylyltransferase; UTP + RNA <=> Diphosphate + RNA
rn:R00444	nucleoside-triphosphate:RNA nucleotidyltransferase (DNA-directed); nucleoside-triphosphate:RNA nucleotidyltransferase (RNA-directed); Nucleoside triphosphate + RNA <=> Diphosphate + RNA
rn:R00445	L-lysine:NAD+ oxidoreductase (deaminating, cyclizing); L-Lysine + NAD+ <=> Delta1-Piperideine-2-carboxylate + Ammonia + NADH + H+
rn:R00446	L-lysine:NAD+ 6-oxidoreductase (deaminating); L-Lysine + NAD+ + H2O <=> L-2-Aminoadipate 6-semialdehyde + NADH + Ammonia + H+
rn:R00447	L-lysine:oxygen 2-oxidoreductase (deaminating); L-Lysine + Oxygen + H2O <=> 6-Amino-2-oxohexanoate + Ammonia + Hydrogen peroxide
rn:R00448	L-lysine,NADPH:oxygen oxidoreductase (6-hydroxylating); L-Lysine + Oxygen + NADPH + H+ <=> N6-Hydroxy-L-lysine + NADP+ + H2O
rn:R00449	L-Lysine:oxygen 2-oxidoreductase (decarboxylating); L-Lysine + Oxygen <=> 5-Aminopentanamide + CO2 + H2O
rn:R00451	meso-2,6-diaminoheptanedioate carboxy-lyase (L-lysine-forming); meso-2,6-Diaminoheptanedioate <=> L-Lysine + CO2
rn:R00452	N2-(D-1-carboxylethyl)-L-lysine:NADP+ oxidoreductase (L-lysine-forming); D-Lysopine + NADP+ + H2O <=> L-Lysine + Pyruvate + NADPH + H+
rn:R00453	L-Lysine:pyruvate aminotransferase; L-Lysine + Pyruvate <=> L-2-Aminoadipate 6-semialdehyde + L-Alanine
rn:R00454	acetyl-CoA:L-lysine N6-acetyltransferase; L-Lysine + Acetyl-CoA <=> N6-Acetyl-L-lysine + CoA
rn:R00457	L-Lysine:2-oxoglutarate 6-aminotransferase; L-Lysine + 2-Oxoglutarate <=> L-2-Aminoadipate 6-semialdehyde + L-Glutamate
rn:R00458	N6-acetyl-L-lysine amidohydrolase; N6-Acetyl-L-lysine + H2O <=> Acetate + L-Lysine
rn:R00459	L-Lysine <=> L-Pipecolate
rn:R00460	lysine racemase; L-Lysine <=> D-Lysine
rn:R00461	L-Lysine 2,3-aminomutase; L-Lysine <=> (3S)-3,6-Diaminohexanoate
rn:R00462	L-lysine carboxy-lyase (cadaverine-forming); L-Lysine <=> Cadaverine + CO2
rn:R00463	L-Lysine-1,6-lactam lactamhydrolase; L-Lysine 1,6-lactam + H2O <=> L-Lysine
rn:R00465	glycolate:NADP+ oxidoreductase; Glycolate + NADP+ <=> Glyoxylate + NADPH + H+
rn:R00466	Glyoxylate:oxygen oxidoreductase; Glyoxylate + Oxygen + H2O <=> Oxalate + Hydrogen peroxide
rn:R00468	Glyoxylate:NADP+ oxidoreductase (CoA-oxalylating); Glyoxylate + CoA + NADP+ <=> Oxalyl-CoA + NADPH + H+
rn:R00469	(S)-ureidoglycolate amidohydrolase (decarboxylating); (S)-Ureidoglycolate + H2O <=> Glyoxylate + 2 Ammonia + CO2
rn:R00470	4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming); 4-Hydroxy-2-oxoglutarate <=> Pyruvate + Glyoxylate
